country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
ES,España,cadena-chinesa-hombre,Cadena Chinesca Hombre,Medida,6mm/65cm,44888,69.0,125.0,cadena-chinesa-hombre--6mm-65cm
ES,España,cadena-chinesa-hombre,Cadena Chinesca Hombre,Medida,8mm/65cm,44890,80.0,140.0,cadena-chinesa-hombre--8mm-65cm
ES,España,cadena-entrelazada-hombre,Cadena Cruzada Hombre,Medida,4mm/65cm,43390,70.0,100.0,cadena-entrelazada-hombre--4mm-65cm
ES,España,cadena-entrelazada-hombre,Cadena Cruzada Hombre,Medida,6mm/65cm,43400,85.0,105.0,cadena-entrelazada-hombre--6mm-65cm
ES,España,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,4mm/65cm,42390,60.0,80.0,cadena-cubana-hombre--4mm-65cm
ES,España,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,6mm/65cm,42395,70.0,95.0,cadena-cubana-hombre--6mm-65cm
ES,España,cadena-cubana-hombre,Cadena Cubana Hombre,Medida,9mm/65cm,42397,80.0,109.0,cadena-cubana-hombre--9mm-65cm
ES,España,cadena-egipcia-hombre-1,Cadena Egipcia Hombre,Medida,4mm/65cm,43500,70.0,100.0,cadena-egipcia-hombre-1--4mm-65cm
ES,España,cadena-egipcia-hombre-1,Cadena Egipcia Hombre,Medida,6mm/65cm,43540,85.0,105.0,cadena-egipcia-hombre-1--6mm-65cm
ES,España,cadena-engranaje-hombre,Cadena Engranaje Hombre,Medida,4mm/65cm,45154,70.0,95.0,cadena-engranaje-hombre--4mm-65cm
ES,España,cadena-engranaje-hombre,Cadena Engranaje Hombre,Medida,6mm/65cm,45159,80.0,105.0,cadena-engranaje-hombre--6mm-65cm
ES,España,cadena-franco-hombre4mm,Cadena Franco Hombre,Medida,3mm/65cm,43192,60.0,80.0,cadena-franco-hombre4mm--3mm-65cm
ES,España,cadena-franco-hombre4mm,Cadena Franco Hombre,Medida,4mm/65cm,43195,65.0,85.0,cadena-franco-hombre4mm--4mm-65cm
