pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
COLOMBIA,CO,Pulsera Veneciana Hombre,(vacío),pulsera-veneciana-hombre,105000.0,sin_sku,P. VENECIANA 2mm  18cm,52687,0.4,56400.00000000001
ECUADOR,EC,Cadena 3x1 5mm,44143,cadena-3x1-5mm-1,108.75,sku_no_en_excel,C. CRUZADA 5mm  65cm,43390,0.4,40.199999999999996
ECUADOR,EC,Cadena China,43888,cadena-china,69.0,sku_no_en_excel,C. CHINA PLANA 6mm 65cm,43900,0.4,50.64
ECUADOR,EC,Cadena Cilindro 3mm,43630,cadena-cilindro-3mm,59.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,25.4
ECUADOR,EC,Cadena Cubana,40258,cadena-cubana,63.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.5,25.4
ECUADOR,EC,Cadena Cubana Mujer,42389,cadena-cubana-mujer,45.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,25.4
ECUADOR,EC,Cadena Egipcia Hombre,44006,cadena-egipcia-hombre,54.0,sku_no_en_excel,C. EGIPCIA  3mm  45cm,43488,0.4,21.6
ECUADOR,EC,Cadena Van Cleef,(vacío),cadena-van-cleef,70.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.17,28.200000000000003
ECUADOR,EC,Candonga Corrugada Medina,71149,copia-de-candonga-lisa-grande,29.0,sku_no_en_excel,,,,
ECUADOR,EC,Candonga Lisa Grande,71115,copia-de-topo-balin-6mm,29.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.2,28.800000000000004
ECUADOR,EC,Colgante Rostro,24552,34008,44.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.25,28.800000000000004
ECUADOR,EC,COMBO Pulseras Cruz,(vacío),combo-pulseras-cruz,49.0,sin_sku,D. CRUZ PIEDRAS,25221,0.2,35.8
ECUADOR,EC,Dije Cristo Madero Mediano,23295,dije-cristo-madero,34.0,sku_no_en_excel,D. MADERO NUEVO,25444,0.4,30.8
ECUADOR,EC,Dije Cristo Redentor,27312,copia-de-dije-cruz-circonias-central,29.0,sku_no_en_excel,D. LEON,26787,0.25,36.6
